customer_id,gender,is_senior_citizen,partner,dependents,partner_dependents,phone_service,internet_service,has_phone_and_internet,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,avg charges,Check,Start Date,is_female,has_churned,has_phone,has_internet,Contract Type,Phone Service,Internet Service,service_type
0002-ORFBO,Female,0,Yes,Yes,3,1,1,TRUE,1,Mailed check,65.60,593.30,No,9,65.92,FALSE,20201027,TRUE,FALSE,TRUE,TRUE,1 Year,One Line,DSL,Phone & Internet
0003-MKNFE,Male,0,No,No,0,2,1,TRUE,0,Mailed check,59.90,542.40,No,9,60.27,FALSE,20201027,FALSE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,DSL,Phone & Internet
0004-TLHLJ,Male,0,No,No,0,1,2,TRUE,0,Electronic check,73.90,280.85,Yes,3,93.62,FALSE,20210427,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0011-IGKFF,Male,1,Yes,No,1,1,2,TRUE,0,Electronic check,98.00,"1,237.85",Yes,12,103.15,FALSE,20200727,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0013-EXCHZ,Female,1,Yes,No,1,1,2,TRUE,0,Mailed check,83.90,267.40,Yes,3,89.13,FALSE,20210427,TRUE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0013-MHZWF,Female,0,No,Yes,2,1,1,TRUE,0,Credit card (automatic),69.40,571.45,No,8,71.43,FALSE,20201127,TRUE,FALSE,TRUE,TRUE,Month-to-Month,One Line,DSL,Phone & Internet
0013-SMEOE,Female,1,Yes,No,1,1,2,TRUE,2,Bank transfer (automatic),109.70,"7,904.25",No,72,109.78,FALSE,20150727,TRUE,FALSE,TRUE,TRUE,2 Year,One Line,Fiber Optic,Phone & Internet
0014-BMAQU,Male,0,Yes,No,1,2,2,TRUE,2,Credit card (automatic),84.65,"5,377.80",No,63,85.36,FALSE,20160427,FALSE,FALSE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone & Internet
0015-UOCOJ,Female,1,No,No,0,1,1,TRUE,0,Electronic check,48.20,340.35,No,7,48.62,FALSE,20201227,TRUE,FALSE,TRUE,TRUE,Month-to-Month,One Line,DSL,Phone & Internet
0016-QLJIS,Female,0,Yes,Yes,3,2,1,TRUE,2,Mailed check,90.45,"5,957.90",No,65,91.66,FALSE,20160227,TRUE,FALSE,TRUE,TRUE,2 Year,Two or More Lines,DSL,Phone & Internet
0017-DINOC,Male,0,No,No,0,0,1,FALSE,2,Credit card (automatic),45.20,"2,460.55",No,54,45.57,FALSE,20170127,FALSE,FALSE,FALSE,TRUE,2 Year,No Phone Service,DSL,Internet Only
0017-IUDMW,Female,0,Yes,Yes,3,2,2,TRUE,2,Credit card (automatic),116.80,"8,456.75",No,72,117.45,FALSE,20150727,TRUE,FALSE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone & Internet
0018-NYROU,Female,0,Yes,No,1,1,2,TRUE,0,Electronic check,68.95,351.50,No,5,70.30,FALSE,20210227,TRUE,FALSE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic,Phone & Internet
0019-EFAEP,Female,0,No,No,0,2,2,TRUE,2,Bank transfer (automatic),101.30,"7,261.25",No,71,102.27,FALSE,20150827,TRUE,FALSE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone & Internet
0019-GFNTW,Female,0,No,No,0,0,1,FALSE,2,Bank transfer (automatic),45.05,"2,560.10",No,56,45.72,FALSE,20161127,TRUE,FALSE,FALSE,TRUE,2 Year,No Phone Service,DSL,Internet Only
0020-INWCK,Female,0,Yes,Yes,3,2,2,TRUE,2,Credit card (automatic),95.75,"6,849.40",No,71,96.47,FALSE,20150827,TRUE,FALSE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic,Phone & Internet
0020-JDNXP,Female,0,Yes,Yes,3,0,1,FALSE,1,Mailed check,61.25,"1,993.20",No,32,62.29,FALSE,20181127,TRUE,FALSE,FALSE,TRUE,1 Year,No Phone Service,DSL,Internet Only
0021-IKXGC,Female,1,No,No,0,2,2,TRUE,0,Electronic check,72.10,72.10,No,1,72.10,TRUE,20210627,TRUE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0022-TCJCI,Male,1,No,No,0,1,1,TRUE,1,Credit card (automatic),62.70,"2,791.50",Yes,44,63.44,FALSE,20171127,FALSE,TRUE,TRUE,TRUE,1 Year,One Line,DSL,Phone & Internet
0023-HGHWL,Male,1,No,No,0,0,1,FALSE,0,Electronic check,25.10,25.10,Yes,1,25.10,TRUE,20210627,FALSE,TRUE,FALSE,TRUE,Month-to-Month,No Phone Service,DSL,Internet Only
0023-UYUPN,Female,1,Yes,No,1,2,0,FALSE,1,Electronic check,25.20,"1,306.30",No,51,25.61,FALSE,20170427,TRUE,FALSE,TRUE,FALSE,1 Year,Two or More Lines,No Internet Service,Phone Only
0023-XUOPT,Female,0,Yes,No,1,2,2,TRUE,0,Electronic check,94.10,"1,215.60",Yes,12,101.30,FALSE,20200727,TRUE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0027-KWYKW,Female,0,Yes,Yes,3,2,2,TRUE,0,Electronic check,83.75,"1,849.95",No,22,84.09,FALSE,20190927,TRUE,FALSE,TRUE,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,Phone & Internet
0030-FNXPP,Female,0,No,No,0,1,0,FALSE,0,Mailed check,19.85,57.20,No,2,28.60,FALSE,20210527,TRUE,FALSE,TRUE,FALSE,Month-to-Month,One Line,No Internet Service,Phone Only
0031-PVLZI,Female,0,Yes,Yes,3,1,0,FALSE,0,Mailed check,20.35,76.35,Yes,3,25.45,FALSE,20210427,TRUE,TRUE,TRUE,FALSE,Month-to-Month,One Line,No Internet Service,Phone Only
0032-PGELS,Female,0,Yes,Yes,3,0,1,FALSE,0,Bank transfer (automatic),30.50,30.50,Yes,1,30.50,TRUE,20210627,TRUE,TRUE,FALSE,TRUE,Month-to-Month,No Phone Service,DSL,Internet Only
0036-IHMOT,Female,0,Yes,Yes,3,1,2,TRUE,1,Bank transfer (automatic),103.70,"5,656.75",No,54,104.75,FALSE,20170127,TRUE,FALSE,TRUE,TRUE,1 Year,One Line,Fiber Optic,Phone & Internet
0040-HALCW,Male,0,Yes,Yes,3,1,0,FALSE,2,Credit card (automatic),20.40,"1,090.60",No,53,20.58,FALSE,20170227,FALSE,FALSE,TRUE,FALSE,2 Year,One Line,No Internet Service,Phone Only
